,ix,iy,latitude,longitude,state
0,0,0,49.9,14.2,Střední Čechy
1,1,0,49.89999072035537,14.246391946869265,Střední Čechy
2,2,0,49.899981440713766,14.292783884840663,Střední Čechy
3,3,0,49.89997216107519,14.339175813914203,Střední Čechy
4,4,0,49.899962881439656,14.38556773408989,Střední Čechy
5,5,0,49.89995360180714,14.431959645367732,Střední Čechy
6,6,0,49.89994432217765,14.478351547747737,Střední Čechy
7,7,0,49.899935042551206,14.524743441229914,Střední Čechy
8,8,0,49.899925762927786,14.571135325814268,Střední Čechy
9,9,0,49.89991648330739,14.617527201500808,Střední Čechy
10,10,0,49.89990720369004,14.663919068289541,Střední Čechy
11,11,0,49.8998979240757,14.710310926180476,Střední Čechy
12,12,0,49.8998886444644,14.756702775173618,Střední Čechy
13,0,1,49.9298449967086,14.2,Střední Čechy
14,1,1,49.929835707311405,14.246420588028966,Střední Čechy
15,2,1,49.92982641791725,14.292841167135757,Střední Čechy
16,3,1,49.92981712852614,14.339261737320378,Střední Čechy
17,4,1,49.92980783913807,14.385682298582838,Střední Čechy
18,5,1,49.92979854975302,14.432102850923144,Střední Čechy
19,6,1,49.929789260371024,14.478523394341304,Střední Čechy
20,7,1,49.929779970992065,14.524943928837324,Střední Čechy
21,8,1,49.92977068161614,14.571364454411214,Střední Čechy
22,9,1,49.929761392243265,14.61778497106298,Střední Čechy
23,10,1,49.929752102873415,14.66420547879263,Střední Čechy
24,11,1,49.9297428135066,14.71062597760017,Střední Čechy
25,12,1,49.92973352414282,14.75704646748561,Střední Čechy
26,0,2,49.95968971160532,14.2,Střední Čechy
27,1,2,49.95968041244363,14.246449277028194,Střední Čechy
28,2,2,49.95967111328498,14.292898545109828,Střední Čechy
29,3,2,49.959661814129376,14.339347804244909,Praha
30,4,2,49.95965251497682,14.385797054433441,Praha
31,5,2,49.959643215827306,14.432246295675435,Střední Čechy
32,6,2,49.959633916680836,14.478695527970897,Střední Čechy
33,7,2,49.959624617537415,14.525144751319836,Střední Čechy
34,8,2,49.95961531839703,14.571593965722258,Střední Čechy
35,9,2,49.9596060192597,14.618043171178172,Střední Čechy
36,10,2,49.95959672012542,14.664492367687584,Střední Čechy
37,11,2,49.95958742099417,14.710941555250503,Střední Čechy
38,12,2,49.95957812186597,14.757390733866938,Střední Čechy
39,0,3,49.98953414456472,14.2,Střední Čechy
40,1,3,49.98952483562655,14.246478013970616,Střední Čechy
41,2,3,49.989515526691434,14.29295601897021,Střední Čechy
42,3,3,49.989506217759356,14.33943401499879,Střední Čechy
43,4,3,49.98949690883033,14.385912002056363,Praha
44,5,3,49.989487599904365,14.432389980142936,Praha
45,6,3,49.98947829098144,14.478867949258516,Praha
46,7,3,49.989468982061574,14.525345909403113,Střední Čechy
47,8,3,49.98945967314475,14.571823860576732,Střední Čechy
48,9,3,49.98945036423099,14.618301802779381,Střední Čechy
49,10,3,49.98944105532028,14.664779736011068,Střední Čechy
50,11,3,49.98943174641261,14.711257660271801,Střední Čechy
51,12,3,49.989422437508,14.757735575561588,Střední Čechy
52,0,4,50.019378295461074,14.2,Střední Čechy
53,1,4,50.01936897673442,14.246506798960208,Střední Čechy
54,2,4,50.01935965801083,14.293013588924858,Střední Čechy
55,3,4,50.01935033929029,14.339520369893954,Praha
56,4,4,50.01934102057281,14.386027141867507,Praha
57,5,4,50.019331701858384,14.432533904845522,Praha
58,6,4,50.01932238314702,14.479040658828009,Praha
59,7,4,50.01931306443871,14.525547403814974,Praha
60,8,4,50.019303745733474,14.572054139806426,Praha
61,9,4,50.019294427031284,14.61856086680237,Praha
62,10,4,50.019285108332156,14.665067584802818,Střední Čechy
63,11,4,50.01927578963608,14.711574293807775,Střední Čechy
64,12,4,50.01926647094307,14.758080993817249,Střední Čechy
65,0,5,50.049222164168675,14.2,Střední Čechy
66,1,5,50.049212835641505,14.246535632101255,Střední Čechy
67,2,5,50.04920350711741,14.293071255182337,Praha
68,3,5,50.04919417859637,14.339606869243253,Praha
69,4,5,50.049184850078404,14.386142474284012,Praha
70,5,5,50.049175521563484,14.432678070304622,Praha
71,6,5,50.04916619305164,14.479213657305088,Praha
72,7,5,50.04915686454286,14.52574923528542,Praha
73,8,5,50.04914753603714,14.572284804245626,Praha
74,9,5,50.04913820753449,14.618820364185714,Praha
75,10,5,50.04912887903491,14.665355915105689,Střední Čechy
76,11,5,50.049119550538386,14.71189145700556,Střední Čechy
77,12,5,50.04911022204494,14.758426989885336,Střední Čechy
78,0,6,50.07906575056146,14.2,Střední Čechy
79,1,6,50.07905641222171,14.246564513498356,Střední Čechy
80,2,6,50.079047073885036,14.29312901795185,Praha
81,3,6,50.07903773555143,14.339693513360489,Praha
82,4,6,50.079028397220895,14.386257999724279,Praha
83,5,6,50.07901905889343,14.43282247704323,Praha
84,6,6,50.07900972056905,14.47938694531735,Praha
85,7,6,50.079000382247735,14.525951404546644,Praha
86,8,6,50.07899104392949,14.572515854731122,Praha
87,9,6,50.078981705614325,14.619080295870793,Praha
88,10,6,50.07897236730223,14.665644727965661,Praha
89,11,6,50.07896302899319,14.712209151015736,Střední Čechy
90,12,6,50.07895369068724,14.758773565021027,Střední Čechy
91,0,7,50.10890905451315,14.2,Střední Čechy
92,1,7,50.10889970634873,14.246593443256424,Střední Čechy
93,2,7,50.10889035818739,14.293186877443219,Praha
94,3,7,50.10888101002914,14.339780302560392,Praha
95,4,7,50.10887166187396,14.38637371860795,Praha
96,5,7,50.108862313721865,14.432967125585904,Praha
97,6,7,50.10885296557286,14.479560523494259,Praha
98,7,7,50.10884361742693,14.526153912333022,Praha
99,8,7,50.10883426928406,14.572747292102203,Praha
100,9,7,50.10882492114428,14.61934066280181,Praha
101,10,7,50.10881557300759,14.665934024431847,Praha
102,11,7,50.108806224873966,14.712527376992325,Střední Čechy
103,12,7,50.10879687674343,14.759120720483251,Střední Čechy
104,0,8,50.13875207589738,14.2,Střední Čechy
105,1,8,50.13874271789619,14.246622421480687,Střední Čechy
106,2,8,50.13873335989809,14.293244833866902,Střední Čechy
107,3,8,50.13872400190308,14.339867237158652,Střední Čechy
108,4,8,50.13871464391115,14.386489631355943,Praha
109,5,8,50.138705285922306,14.433112016458782,Praha
110,6,8,50.138695927936546,14.47973439246718,Praha
111,7,8,50.138686569953876,14.526356759381143,Praha
112,8,8,50.13867721197429,14.57297911720068,Praha
