,ix,iy,latitude,longitude,state
0,0,0,49.9,14.2,Střední Čechy
1,1,0,49.89999248198415,14.24175692888872,Střední Čechy
2,2,0,49.89998496397029,14.283513851288948,Střední Čechy
3,3,0,49.899977445958406,14.325270767200687,Střední Čechy
4,4,0,49.89996992794854,14.367027676623943,Střední Čechy
5,5,0,49.89996240994064,14.40878457955872,Střední Čechy
6,6,0,49.89995489193473,14.450541476005021,Střední Čechy
7,7,0,49.899947373930814,14.492298365962853,Střední Čechy
8,8,0,49.89993985592888,14.53405524943222,Střední Čechy
9,9,0,49.89993233792894,14.575812126413123,Střední Čechy
10,10,0,49.89992481993099,14.61756899690557,Střední Čechy
11,11,0,49.89991730193502,14.659325860909565,Střední Čechy
12,12,0,49.899909783941055,14.701082718425111,Střední Čechy
13,13,0,49.89990226594908,14.742839569452213,Střední Čechy
14,14,0,49.899894747959095,14.784596413990878,Střední Čechy
15,0,1,49.92685900277754,14.2,Střední Čechy
16,1,1,49.92685147765149,14.241780127312035,Střední Čechy
17,2,1,49.92684395252743,14.283560248119626,Střední Čechy
18,3,1,49.92683642740537,14.325340362422779,Střední Čechy
19,4,1,49.9268289022853,14.367120470221495,Střední Čechy
20,5,1,49.92682137716723,14.408900571515783,Střední Čechy
21,6,1,49.92681385205115,14.450680666305646,Střední Čechy
22,7,1,49.92680632693706,14.492460754591086,Střední Čechy
23,8,1,49.92679880182497,14.53424083637211,Střední Čechy
24,9,1,49.92679127671487,14.57602091164872,Střední Čechy
25,10,1,49.926783751606756,14.617800980420924,Střední Čechy
26,11,1,49.92677622650065,14.659581042688725,Střední Čechy
27,12,1,49.926768701396526,14.701361098452127,Střední Čechy
28,13,1,49.9267611762944,14.743141147711134,Střední Čechy
29,14,1,49.92675365119426,14.78492119046575,Střední Čechy
30,0,2,49.95371777332096,14.2,Střední Čechy
31,1,2,49.95371024107688,14.24180336059893,Střední Čechy
32,2,2,49.9537027088348,14.28360671467742,Střední Čechy
33,3,2,49.95369517659471,14.325410062235475,Střední Čechy
34,4,2,49.953687644356606,14.367213403273102,Praha
35,5,2,49.953680112120516,14.409016737790301,Střední Čechy
36,6,2,49.95367257988641,14.45082006578708,Střední Čechy
37,7,2,49.953665047654304,14.492623387263441,Střední Čechy
38,8,2,49.9536575154242,14.53442670221939,Střední Čechy
39,9,2,49.95364998319608,14.576230010654932,Střední Čechy
40,10,2,49.953642450969966,14.618033312570072,Střední Čechy
41,11,2,49.953634918745855,14.659836607964811,Střední Čechy
42,12,2,49.95362738652373,14.701639896839158,Střední Čechy
43,13,2,49.95361985430361,14.743443179193115,Střední Čechy
44,14,2,49.95361232208549,14.785246455026686,Střední Čechy
45,0,3,49.98057631153439,14.2,Střední Čechy
46,1,3,49.9805687721644,14.241826628817364,Střední Čechy
47,2,3,49.98056123279642,14.283653251098249,Střední Čechy
48,3,3,49.980553693430444,14.32547986684266,Střední Čechy
49,4,3,49.98054615406647,14.367306476050599,Praha
50,5,3,49.98053861470449,14.409133078722073,Praha
51,6,3,49.980531075344516,14.450959674857087,Praha
52,7,3,49.980523535986535,14.492786264455642,Střední Čechy
53,8,3,49.980515996630565,14.534612847517746,Střední Čechy
54,9,3,49.9805084572766,14.576439424043402,Střední Čechy
55,10,3,49.98050091792463,14.618265994032614,Střední Čechy
56,11,3,49.980493378574664,14.660092557485386,Střední Čechy
57,12,3,49.98048583922669,14.701919114401726,Střední Čechy
58,13,3,49.98047829988072,14.743745664781635,Střední Čechy
59,14,3,49.980470760536754,14.78557220862512,Střední Čechy
60,0,4,50.0074346173219,14.2,Střední Čechy
61,1,4,50.00742707081816,14.241849932035484,Střední Čechy
62,2,4,50.00741952431642,14.283699857518403,Střední Čechy
63,3,4,50.007411977816695,14.325549776448762,Praha
64,4,4,50.007404431318975,14.367399688826566,Praha
65,5,4,50.00739688482325,14.409249594651818,Praha
66,6,4,50.00738933832954,14.451099493924525,Praha
67,7,4,50.00738179183784,14.49294938664469,Praha
68,8,4,50.007374245348124,14.534799272812318,Praha
69,9,4,50.00736669886043,14.576649152427413,Střední Čechy
70,10,4,50.00735915237473,14.618499025489978,Praha
71,11,4,50.007351605891046,14.66034889200002,Střední Čechy
72,12,4,50.00734405940936,14.702198751957543,Střední Čechy
73,13,4,50.00733651292968,14.74404860536255,Střední Čechy
74,14,4,50.007328966452015,14.785898452215049,Střední Čechy
75,0,5,50.03429269058754,14.2,Střední Čechy
76,1,5,50.03428513694215,14.241873270321612,Střední Čechy
77,2,5,50.03427758329876,14.283746534074531,Praha
78,3,5,50.03427002965738,14.32561979125876,Praha
79,4,5,50.03426247601801,14.367493041874303,Praha
80,5,5,50.034254922380654,14.409366285921164,Praha
81,6,5,50.034247368745305,14.45123952339935,Praha
82,7,5,50.03423981511197,14.493112754308864,Praha
83,8,5,50.03423226148064,14.534985978649711,Praha
84,9,5,50.03422470785132,14.576859196421895,Praha
85,10,5,50.034217154224024,14.61873240762542,Praha
86,11,5,50.034209600598736,14.66060561226029,Střední Čechy
87,12,5,50.034202046975444,14.702478810326513,Střední Čechy
88,13,5,50.034194493354164,14.74435200182409,Střední Čechy
89,14,5,50.0341869397349,14.786225186753027,Střední Čechy
90,0,6,50.06115053123505,14.2,Střední Čechy
91,1,6,50.0611429704401,14.241896643744264,Střední Čechy
92,2,6,50.06113540964717,14.283793280903659,Praha
93,3,6,50.06112784885626,14.325689911478188,Praha
94,4,6,50.06112028806736,14.367586535467856,Praha
95,5,6,50.061112727280474,14.409483152872667,Praha
96,6,6,50.06110516649561,14.451379763692627,Praha
97,7,6,50.06109760571275,14.49327636792774,Praha
98,8,6,50.061090044931916,14.53517296557801,Praha
99,9,6,50.06108248415309,14.577069556643442,Praha
100,10,6,50.061074923376275,14.61896614112404,Praha
101,11,6,50.06106736260148,14.66086271901981,Střední Čechy
