,ix,iy,latitude,longitude,state
0,0,0,49.9,14.2,Střední Čechy
1,1,0,49.89999477915551,14.234797441842042,Střední Čechy
2,2,0,49.89998955831198,14.26959487992917,Střední Čechy
3,3,0,49.899984337469405,14.304392314261381,Střední Čechy
4,4,0,49.89997911662778,14.339189744838682,Střední Čechy
5,5,0,49.899973895787134,14.373987171661073,Střední Čechy
6,6,0,49.89996867494743,14.408784594728555,Střední Čechy
7,7,0,49.8999634541087,14.44358201404113,Střední Čechy
8,8,0,49.89995823327092,14.478379429598801,Střední Čechy
9,9,0,49.899953012434096,14.513176841401568,Střední Čechy
10,10,0,49.89994779159823,14.547974249449435,Střední Čechy
11,11,0,49.89994257076333,14.582771653742402,Střední Čechy
12,12,0,49.89993734992939,14.617569054280471,Střední Čechy
13,13,0,49.89993212909641,14.652366451063644,Střední Čechy
14,14,0,49.89992690826439,14.687163844091923,Střední Čechy
15,15,0,49.89992168743333,14.721961233365311,Střední Čechy
16,16,0,49.89991646660323,14.756758618883808,Střední Čechy
17,17,0,49.899911245774085,14.791556000647416,Střední Čechy
18,0,1,49.92238251096953,14.2,Střední Čechy
19,1,1,49.922377286010715,14.234813549839068,Střední Čechy
20,2,1,49.92237206105286,14.26962709591553,Střední Čechy
21,3,1,49.92236683609597,14.304440638229387,Střední Čechy
22,4,1,49.92236161114004,14.339254176780642,Střední Čechy
23,5,1,49.92235638618507,14.374067711569296,Střední Čechy
24,6,1,49.92235116123106,14.408881242595351,Střední Čechy
25,7,1,49.92234593627802,14.44369476985881,Střední Čechy
26,8,1,49.92234071132594,14.478508293359674,Střední Čechy
27,9,1,49.92233548637481,14.513321813097944,Střední Čechy
28,10,1,49.92233026142465,14.548135329073622,Střední Čechy
29,11,1,49.922325036475456,14.58294884128671,Střední Čechy
30,12,1,49.92231981152722,14.617762349737209,Střední Čechy
31,13,1,49.92231458657994,14.652575854425121,Střední Čechy
32,14,1,49.92230936163362,14.687389355350449,Střední Čechy
33,15,1,49.922304136688254,14.722202852513194,Střední Čechy
34,16,1,49.92229891174386,14.757016345913359,Střední Čechy
35,17,1,49.922293686800415,14.791829835550944,Střední Čechy
36,0,2,49.944764860669615,14.2,Střední Čechy
37,1,2,49.9447596315927,14.234829678005218,Střední Čechy
38,2,2,49.94475440251676,14.26965935224012,Střední Čechy
39,3,2,49.944749173441764,14.304489022704711,Střední Čechy
40,4,2,49.94474394436774,14.33931868939899,Střední Čechy
41,5,2,49.94473871529467,14.37414835232296,Střední Čechy
42,6,2,49.94473348622257,14.408978011476622,Střední Čechy
43,7,2,49.94472825715143,14.443807666859978,Střední Čechy
44,8,2,49.94472302808126,14.47863731847303,Střední Čechy
45,9,2,49.944717799012054,14.51346696631578,Střední Čechy
46,10,2,49.9447125699438,14.54829661038823,Střední Čechy
47,11,2,49.944707340876526,14.58312625069038,Střední Čechy
48,12,2,49.944702111810194,14.617955887222235,Střední Čechy
49,13,2,49.94469688274484,14.652785519983794,Střední Čechy
50,14,2,49.94469165368044,14.68761514897506,Střední Čechy
51,15,2,49.944686424617004,14.722444774196036,Střední Čechy
52,16,2,49.94468119555454,14.757274395646723,Střední Čechy
53,17,2,49.94467596649303,14.79210401332712,Střední Čechy
54,0,3,49.96714704904479,14.2,Střední Čechy
